,x,y
sample_110,-5.174429,-14.788733
sample_111,6.4049525,10.250204
sample_112,-11.942421,8.944894
sample_113,-10.17873,-16.701485
sample_114,7.097151,7.2993283
sample_115,22.994617,-21.123589
sample_116,18.62125,-21.263924
sample_117,21.227825,-20.10078
sample_118,10.012878,8.751369
sample_119,5.1761584,11.61515
sample_120,-11.317627,7.932268
sample_121,19.056713,-20.060217
sample_122,-17.149609,3.5345237
sample_123,7.364999,2.324138
sample_124,-10.656356,-17.669054
sample_125,-9.214827,-14.789407
sample_126,-9.136653,-16.240274
sample_127,10.213529,6.5638
sample_128,22.03694,-17.573812
sample_129,-6.3994355,9.402341
sample_130,-19.994703,20.327473
sample_131,-2.8636467,7.9254217
sample_132,-19.112148,24.520689
sample_133,0.47424114,7.756301
sample_134,13.825261,7.2868934
sample_135,22.164846,-22.719099
sample_136,-14.263467,4.6832786
sample_137,5.6776786,6.182043
sample_138,17.642075,-16.76806
sample_139,-19.890366,23.07004
sample_140,6.6927285,10.49669
sample_141,-9.669541,-21.40182
sample_142,7.0394917,8.759523
sample_143,16.045786,-18.733143
sample_144,-12.121307,6.583501
sample_145,-16.955301,23.090294
sample_146,-7.746152,-13.417939
sample_147,5.4583797,10.839716
sample_148,-16.464972,2.6384811
sample_149,-16.561197,0.881023
sample_150,-13.820594,7.6443253
sample_151,-14.198987,10.447381
sample_152,11.086894,6.751779
sample_153,8.163075,12.909348
sample_154,-14.353726,6.6387844
sample_155,2.578316,7.606982
sample_156,11.296142,13.002705
sample_157,-14.587697,-17.039522
sample_158,-8.424505,-14.819043
sample_159,-12.819715,3.3753724
sample_160,-5.474317,-14.441061
sample_161,-12.240752,1.8264345
sample_162,21.304064,-20.841623
sample_163,3.2408063,3.2938766
sample_164,-7.577914,-17.650343
sample_165,-12.6668825,7.4674597
sample_166,-15.955946,21.907007
sample_167,22.113398,-15.568576
sample_168,-16.48231,4.9629364
sample_169,9.215363,10.886525
sample_170,18.797277,-18.1407
sample_171,-10.06014,3.039248
sample_172,9.311948,12.451105
sample_173,-17.393997,3.011085
sample_174,5.7652664,7.7613673
sample_175,1.5040762,0.3530679
sample_176,4.300984,3.9656432
sample_177,-10.182221,-14.50105
sample_178,4.8393283,5.0689983
sample_179,21.239964,-18.834463
sample_180,-19.27267,23.345676
sample_181,18.637365,-18.003016
sample_182,3.730302,10.362722
sample_183,-11.179108,-15.6747055
sample_184,-10.247191,-22.177912
sample_185,-11.773237,-14.3305
sample_186,-17.150965,3.6855993
sample_187,-13.59508,6.3887005
sample_188,1.6071839,9.035972
sample_189,-15.964551,13.54884
sample_190,-13.61372,1.5568082
sample_191,17.880253,-20.103163
sample_192,-15.383057,0.9256033
sample_193,-14.050351,-19.88098
sample_194,-13.693648,2.3741765
sample_195,3.6529205,7.0507116
sample_196,-0.09430342,-1.2867777
sample_197,11.775549,11.106171
sample_198,-17.94672,9.641639
sample_199,-11.932363,5.3786974
sample_200,3.9346707,8.823115
sample_201,23.983894,-20.523905
sample_202,24.235636,-19.933943
sample_203,18.955002,-17.346941
sample_204,18.996141,-20.864096
sample_205,-12.156889,-21.196281
sample_206,-1.0778728,-1.1521763
sample_207,-7.6242633,-20.603231
sample_208,-0.05272769,4.3086634
sample_209,-12.95911,5.414491
sample_210,-16.632896,8.292039
sample_211,2.2950108,10.511281
sample_212,-9.549954,-20.330679
sample_213,5.2884293,2.5595517
sample_214,-8.336501,-15.727128
sample_215,3.3533227,8.392532
sample_216,7.9045463,5.9783707
sample_217,3.71864,11.1846695
sample_218,-11.605377,6.3532977
sample_219,5.6365256,4.8059134
sample_220,22.319258,-23.362196
sample_221,-12.714182,5.638706
sample_222,21.737461,-20.741022
sample_223,22.537767,-20.861107
sample_224,-13.443298,6.6939387
sample_225,5.033173,9.731901
sample_226,22.430656,-19.673376
sample_227,-8.586711,-18.626028
sample_228,4.372859,7.6156526
sample_229,-14.750718,6.714577
sample_230,-15.270729,0.25028634
sample_231,-12.121291,-21.705362
sample_232,-15.903344,22.158278
sample_233,0.16530052,-1.68231
sample_234,22.10648,-20.282612
sample_235,-11.800937,-17.27601
sample_236,17.383339,-18.933523
sample_237,-18.929651,21.354301
sample_238,-0.7182436,7.6153555
sample_239,21.38968,-17.895954
sample_240,19.96721,-20.774536
sample_241,-12.8589945,8.379333
sample_242,-9.228465,-17.577326
sample_243,-11.736663,-12.4056835
sample_244,-12.370727,2.2509573
sample_245,-17.287685,4.206271
sample_246,20.944046,-21.66654
sample_247,2.064092,7.115493
sample_248,-0.96837527,12.167629
sample_249,-16.51201,20.600834
sample_250,-1.0652446,14.31154
sample_251,-7.5812926,-19.21294
sample_252,-17.391409,18.329268
sample_253,3.2936177,5.150949
sample_254,-11.74579,-16.589733
sample_255,22.167767,-21.929928
sample_256,-5.1914234,-13.684354
sample_257,-12.686002,-19.793009
sample_258,-10.206126,-17.275888
sample_259,6.2250333,9.3848295
sample_260,-18.682028,20.985348
sample_261,-20.682493,20.268948
sample_262,-14.369155,7.032232
sample_263,-17.38032,20.799137
sample_264,-19.697773,21.13743
sample_265,-10.158146,-21.657751
sample_266,-7.898671,5.4181757
sample_267,0.890313,15.367315
sample_268,3.4038277,8.971652
sample_269,17.67722,-21.776932
sample_270,21.619545,-16.426699
sample_271,8.448781,4.5809927
sample_272,-19.510778,23.719978
sample_273,-5.1181283,-14.017382
sample_274,21.55111,-14.879723
sample_275,-9.935845,-15.702177
sample_276,1.7909055,8.122024
sample_277,12.1102085,7.574506
sample_278,20.366093,-19.868612
sample_279,11.505205,9.704587
sample_280,-0.86765003,13.359922
sample_281,-1.9479007,10.028501
sample_282,0.07857684,-2.248764
sample_283,-14.461429,1.3265547
sample_284,-15.813998,4.2344418
sample_285,7.117991,7.6348834
sample_286,5.890148,7.5448403
sample_287,4.8495398,6.0034175
sample_288,20.08713,-16.330753
sample_289,21.740812,-17.86231
sample_290,18.881832,-21.453814
sample_291,23.14499,-17.87207
sample_292,0.18830232,-0.6919022
sample_293,3.3277407,12.080293
sample_294,10.395258,6.310926
sample_295,21.261173,-23.613739
sample_296,7.8815846,8.458027
sample_297,7.14461,8.058093
sample_298,-14.955327,8.51822
sample_299,-12.032514,-15.694887
sample_300,2.519474,3.1028862
sample_301,6.4579115,7.8359423
sample_302,-20.73834,21.895008
sample_303,-15.645227,6.4108615
sample_304,-7.57732,-16.05584
sample_305,10.117442,11.708413
sample_306,8.167251,10.433848
sample_307,3.052999,10.212076
sample_308,-20.043324,24.900288
sample_309,1.308725,3.9134758
sample_310,-12.499769,-18.453365
sample_311,5.903566,9.698641
sample_312,-16.067923,20.796091
sample_313,-18.471304,2.3388927
sample_314,-17.597963,9.436196
sample_315,-9.399525,-19.013672
sample_316,23.009037,-18.163973
sample_317,3.5622718,1.3957638
sample_318,22.626013,-15.466629
sample_319,20.800232,-16.449478
sample_320,3.058177,13.950245
sample_321,-19.108585,20.747448
sample_322,19.664978,-25.031235
sample_323,9.9327545,10.770325
sample_324,9.055678,7.414989
sample_325,-3.0831504,13.101891
sample_326,-0.58084154,12.4812565
sample_327,22.582375,-16.484426
sample_328,6.1430836,13.834193
sample_329,8.464433,6.413304
sample_330,-8.658402,-19.602282
sample_331,-3.291313,12.101422
sample_332,23.84841,-19.144104
sample_333,1.9153869,10.106818
sample_334,-14.072399,5.42232
sample_335,-12.954072,-14.552531
sample_336,19.4843,-24.547962
sample_337,9.119771,15.129896
sample_338,-7.748601,-16.988924
sample_339,-21.514029,23.220041
sample_340,1.7619379,3.9292066
sample_341,3.6768074,5.9911675
sample_342,6.4581823,12.639841
sample_343,-14.827539,8.701544
sample_344,-19.642454,7.846453
sample_345,-13.1990795,5.1045403
sample_346,5.05974,13.535999
sample_347,6.586699,4.6201735
sample_348,-7.8761797,-15.721664
sample_349,-15.422001,3.1502154
sample_350,8.787355,9.593739
sample_351,18.87798,-21.335325
sample_352,7.8285117,13.470692
sample_353,-19.407148,22.39475
sample_354,-17.49886,19.538631
sample_355,-15.187405,5.4374356
sample_356,6.5175576,5.567282
sample_357,22.18353,-21.629385
sample_358,7.389125,9.944322
sample_359,6.9711084,14.469363
sample_360,0.8607525,4.5202665
sample_361,-18.34175,22.81648
sample_362,-12.230011,4.274608
sample_363,-17.727522,20.942644
sample_364,19.078573,-24.84688
sample_365,-9.827203,-15.054712
sample_366,20.924242,-18.961386
sample_367,0.32801402,5.371753
sample_368,5.7266808,8.590882
sample_369,23.317223,-20.590855
sample_370,-1.2979238,12.432559
sample_371,-19.536772,23.681793
sample_372,-9.135382,-17.731731
sample_373,-13.969584,10.104139
sample_374,-7.7762017,-19.073574
sample_375,-0.1811315,-0.78479606
sample_376,19.307335,-18.70241
sample_377,-11.584506,-22.120129
sample_378,4.5117445,11.601818
sample_379,-18.833324,23.86116
sample_380,19.174255,-19.635328
sample_381,21.066675,-15.066247
sample_382,-19.703342,22.760847
sample_383,-17.278887,24.682032
sample_384,-7.5443945,-15.364104
sample_385,9.400486,12.283488
sample_386,0.7364054,-0.78125566
sample_387,-19.949793,19.714348
sample_388,19.525867,-22.781158
sample_389,-1.2174335,1.1131635
sample_390,-9.610816,-15.306972
sample_391,-2.3489373,9.517865
sample_392,9.024977,5.8723097
sample_393,5.1626496,12.493601
sample_394,-12.829491,1.9198155
sample_395,-14.807378,6.8633537
sample_396,25.105642,-21.451597
sample_397,-14.373597,4.6792245
sample_398,-1.4391621,12.495166
sample_399,17.996815,-20.627668
sample_400,-20.831635,23.091623
sample_401,-13.161499,-21.067316
sample_402,6.4322352,12.16695
sample_403,-17.629503,6.587623
sample_404,-11.204388,-16.607382
sample_405,2.9298189,2.3734272
sample_406,-2.0348725,0.055078022
sample_407,7.9539356,8.283671
sample_408,-15.029352,2.5199983
sample_409,10.09953,8.439406
sample_410,-2.6562033,9.414085
sample_411,-9.050175,-14.044271
sample_412,6.141233,15.0489435
sample_413,-9.253046,-17.985233
sample_414,-18.693712,21.591816
sample_415,7.394701,10.822604
sample_416,-18.901196,4.0723796
sample_417,13.466079,11.904742
sample_418,-3.0462098,13.753224
sample_419,-13.283952,5.6515694
sample_420,7.8831353,12.148757
sample_421,2.914077,8.468724
sample_422,9.902128,10.85516
sample_423,20.188007,-22.472237
sample_424,-14.09691,3.2747364
sample_425,-13.346252,-18.4372
sample_426,6.567126,12.049905
sample_427,-10.638132,-16.655096
sample_428,21.057707,-14.475584
sample_429,0.79663736,1.956386
sample_430,21.889727,-21.554308
sample_431,-17.4151,22.905151
sample_432,9.797841,13.262208
sample_433,-10.494828,-19.069065
sample_434,-12.56892,7.7927117
sample_435,20.24203,-18.647429
sample_436,8.911109,4.272199
sample_437,2.3207448,12.370889
sample_438,18.01224,-16.024748
sample_439,1.5242726,10.232479
sample_440,-12.027594,6.703406
sample_441,-0.6590133,5.0742097
sample_442,-1.8537453,11.90936
sample_443,-13.500012,-16.283485
sample_444,-17.702988,23.870098
sample_445,4.6187325,1.8534814
sample_446,19.364836,-14.86301
sample_447,-12.7256155,6.2887044
sample_448,-5.409774,-14.646338
sample_449,0.09395286,6.8111153
sample_450,-8.375628,-18.039852
sample_451,8.992466,8.692916
sample_452,8.136887,8.779037
sample_453,0.2571982,12.716102
sample_454,10.677352,8.668704
sample_455,17.734709,-17.632545
sample_456,-11.522367,1.962565
sample_457,1.9374065,4.006067
sample_458,20.89755,-21.98275
sample_459,5.197702,10.528454
sample_460,10.164385,9.506842
sample_461,-13.65229,10.758799
sample_462,-14.601158,6.2106066
sample_463,16.381788,-18.550547
sample_464,-18.867422,20.274559
sample_465,-9.906549,-19.178696
sample_466,-21.016598,21.438122
sample_467,3.9163945,1.7379105
sample_468,20.525421,-21.659597
sample_469,24.604504,-18.28409
sample_470,2.863498,1.401756
sample_471,-9.992472,-15.566938
sample_472,21.57946,-19.502869
sample_473,-17.81548,18.943851
sample_474,-15.071343,3.5671477
sample_475,-18.410282,6.088508
sample_476,9.499538,13.805752
sample_477,-9.965395,-18.221615
sample_478,-11.152616,-19.503063
sample_479,-0.5835734,8.632271
sample_480,-12.080795,-19.378632
sample_481,-16.259737,3.6764972
sample_482,18.369408,-22.194511
sample_483,-11.037302,-18.743065
sample_484,9.939907,2.4799016
sample_485,-17.763496,1.8059992
sample_486,-14.068616,-19.410076
sample_487,-11.003502,4.674347
sample_488,6.6128387,9.051329
sample_489,1.6122369,10.143716
sample_490,-17.169548,21.940252
sample_491,-10.472228,5.5656433
sample_492,21.527409,-17.448492
sample_493,-19.912971,22.380014
sample_494,-11.231063,5.5936604
sample_495,3.684572,2.8978224
sample_496,-7.775079,-18.588112
sample_497,-0.78702694,3.2816505
sample_498,2.6533153,6.1491237
sample_499,-11.789676,-18.00411
sample_500,7.4882493,9.052426
sample_501,-21.322865,22.401031
sample_502,3.7014513,10.315676
sample_503,-15.923326,22.59996
sample_504,19.190796,-20.248621
sample_505,12.535378,6.058878
sample_506,8.251269,8.410522
sample_507,-14.233519,10.837533
sample_508,-18.48794,3.16318
sample_509,-14.010167,6.979675
sample_510,-16.49026,19.673803
sample_511,19.917482,-18.329176
sample_512,-13.481078,6.913602
sample_513,-11.335554,4.309821
sample_514,8.946622,9.822074
sample_515,7.5384493,6.4249287
sample_516,12.503327,-15.360907
sample_517,-13.290507,-18.138006
sample_518,-10.176617,4.2571497
sample_519,-13.155355,-18.066877
sample_520,7.6030207,3.7802408
sample_521,24.801336,-21.282162
sample_522,13.263232,5.2697554
sample_523,18.73117,-16.505886
sample_524,20.325834,-14.92906
sample_525,-7.642452,-14.384349
sample_526,-10.854503,-18.131254
sample_527,-15.404777,4.7758956
sample_528,4.3592415,0.43962702
sample_529,18.830412,-25.042871
sample_530,-17.332764,24.792068
sample_531,-18.776167,21.590391
sample_532,4.632896,12.798981
sample_533,22.714483,-21.36654
sample_534,20.204014,-19.387505
sample_535,7.7106247,9.825965
sample_536,1.1356654,6.5830665
sample_537,-12.171686,-16.354261
sample_538,17.018707,-21.07835
sample_539,-18.887081,20.301779
sample_540,1.0514507,5.227341
sample_541,-1.4642464,11.003509
sample_542,-16.459776,20.51107
sample_543,-16.33374,1.4008583
sample_544,6.3457737,9.682279
sample_545,2.145399,5.9524736
sample_546,12.1475725,5.2441907
sample_547,21.611467,-21.91115
sample_548,-12.178065,-20.629494
sample_549,-13.026248,0.2922167
sample_550,-14.391362,3.6677551
sample_551,4.786197,3.2523487
sample_552,21.065165,-22.907957
sample_553,-20.165096,21.983149
sample_554,17.904379,-20.180237
sample_555,21.951292,-20.996967
sample_556,3.805767,3.6011052
sample_557,-8.269972,-14.307515
sample_558,-17.470417,9.295143
sample_559,21.798725,-16.797056
sample_560,7.3027167,16.06513
sample_561,-20.48643,23.012304
sample_562,-17.322634,8.381491
sample_563,-12.381272,2.0311117
sample_564,-13.138864,6.4321475
sample_565,-11.564612,-17.705301
sample_566,-18.074625,9.720069
sample_567,20.426481,-22.662622
sample_568,10.901874,9.099935
sample_569,3.3676713,6.7860365
sample_570,-20.099163,21.965336
sample_571,-10.119521,-13.669038
sample_572,-3.6378508,12.604903
sample_573,3.9438033,8.472885
sample_574,1.8452603,13.608544
sample_575,20.843977,-19.548813
sample_576,-12.328415,4.964514
sample_577,-18.330938,9.923333
sample_578,-0.20975202,6.2514853
sample_579,-9.890365,-18.543484
sample_580,-11.849238,4.665065
sample_581,-15.488375,3.8449607
sample_582,10.056354,8.047661
sample_583,20.84591,-21.089731
sample_584,-10.659612,-21.041164
sample_585,-18.920166,23.541527
sample_586,-17.754631,9.581416
sample_587,-11.972961,-18.312262
sample_588,-16.12091,21.350088
sample_589,-11.599262,0.6497779
sample_590,-18.630302,23.16283
sample_591,17.615171,-20.548355
sample_592,18.027637,-16.364204
sample_593,-1.8393664,13.089047
sample_594,10.488429,5.5172806
sample_595,21.596231,-22.535833
sample_596,16.5355,-16.46207
sample_597,-19.39643,20.845232
sample_598,2.568539,9.573964
sample_599,-13.771907,8.772836
sample_600,-9.196696,-20.671757
sample_601,-6.756512,-19.181486
sample_602,20.526241,-19.537912
sample_603,11.817416,5.6651244
sample_604,-16.952385,3.0601301
sample_605,-0.9209417,12.4548235
sample_606,2.2398994,5.856397
sample_607,-18.16159,21.61657
sample_608,2.651271,3.9564939
sample_609,-5.730509,-15.960668
sample_610,-9.556466,-16.72637
sample_611,-2.5591586,11.4329
sample_612,8.610645,9.364886
sample_613,-17.277906,23.072954
sample_614,9.344452,8.156297
sample_615,16.617258,-17.727245
sample_616,-2.2647474,12.507351
sample_617,0.07587016,4.8505235
sample_618,-17.641552,19.759624
sample_619,9.954023,2.5334945
sample_620,-10.956358,-14.939716
sample_621,2.6073108,2.4266229
sample_622,-2.4159284,12.982624
sample_623,19.243746,-13.904416
sample_624,-6.373048,-17.812819
sample_625,-15.299004,10.750862
sample_626,4.914677,8.389687
sample_627,6.578533,11.876358
sample_628,19.28823,-24.725126
sample_629,-2.919931,12.308987
sample_630,9.556081,7.4973187
sample_631,5.147384,7.5546103
sample_632,4.9129605,9.558578
sample_633,0.7267727,-2.106463
sample_634,-17.652298,21.23169
sample_635,-12.867922,2.488299
sample_636,-13.406762,2.9362273
sample_637,-1.8573647,4.6230454
sample_638,6.3017387,10.883097
sample_639,-3.1007605,13.035575
sample_640,-9.91971,-15.915194
sample_641,-1.4878132,14.595063
sample_642,6.7182555,12.826556
sample_643,21.957611,-20.34478
sample_644,-15.364696,1.2795036
sample_645,-11.653604,7.1248035
sample_646,22.528194,-19.170584
sample_647,22.92117,-21.819305
sample_648,-13.713907,5.5424657
sample_649,17.137203,-16.163797
sample_650,-19.614975,23.398325
sample_651,3.3229837,5.65207
sample_652,-18.929243,25.13276
sample_653,22.241781,-18.962528
sample_654,12.409321,6.1080017
sample_655,8.3546505,11.237256
sample_656,-10.632642,-15.877412
sample_657,-12.431988,-17.790476
sample_658,-8.40433,-20.848183
sample_659,-12.20434,5.3773985
sample_660,-7.125779,-16.671139
sample_661,-11.817552,-20.587051
sample_662,-20.69467,23.876167
sample_663,12.748358,8.953761
sample_664,4.9657483,9.191546
sample_665,-19.185837,21.213305
sample_666,-7.933847,5.386004
sample_667,18.042341,-18.241154
sample_668,6.0628433,8.860103
sample_669,17.255579,-20.620129
sample_670,-18.585323,23.277153
sample_671,4.891919,8.2198925
sample_672,9.951143,11.539937
sample_673,0.8663435,2.5539975
sample_674,-12.766191,-19.196625
sample_675,-13.397719,3.139325
sample_676,18.42453,-18.537851
sample_677,7.6292315,8.885844
sample_678,-14.606844,-19.270815
sample_679,16.021805,-17.158237
sample_680,-10.633429,-16.84353
sample_681,6.102595,6.0568285
sample_682,-18.03906,9.727921
sample_683,17.007895,-17.580244
sample_684,-9.767915,-17.655758
sample_685,-12.457491,2.9173727
sample_686,-11.002504,-17.383154
sample_687,-8.507677,-14.368856
sample_688,-1.6319665,-0.19523469
sample_689,22.982374,-15.801714
sample_690,-8.407325,-16.955624
sample_691,-16.16493,7.8249664
sample_692,-17.145157,21.436064
sample_693,-17.929033,20.292622
sample_694,11.085354,12.60264
sample_695,3.655449,4.944031
sample_696,7.968166,7.2576437
sample_697,-15.741925,2.3946447
sample_698,18.866564,-18.347704
sample_699,19.077,-15.416293
sample_700,20.139782,-17.638508
sample_701,10.282168,4.66606
sample_702,-9.969033,7.0388694
sample_703,23.239452,-19.651936
sample_704,-12.487477,-16.821768
sample_705,5.2221875,7.6175814
sample_706,-11.422208,5.2228603
sample_707,-5.7563677,-17.08779
sample_708,5.965013,8.936898
sample_709,-10.112961,-22.139242
sample_710,14.3444805,7.7380023
sample_711,18.13003,-15.661159
sample_712,-2.9619195,11.932596
sample_713,-17.391926,18.252768
sample_714,-11.049646,-16.66068
sample_715,-11.179674,-14.693885
sample_716,21.581055,-19.364574
sample_717,-11.59152,-15.293916
sample_718,17.285398,-15.491031
sample_719,9.920494,9.586474
sample_720,-11.954718,3.575329
sample_721,-14.360365,6.105424
sample_722,0.97561747,9.490434
sample_723,0.03019808,0.28894323
sample_724,18.330832,-19.493797
sample_725,4.5238714,6.903717
sample_726,1.9830637,2.4023566
sample_727,4.781998,10.075987
sample_728,0.83396626,6.519085
sample_729,22.866055,-16.550571
sample_730,18.706923,-15.185423
sample_731,-11.162914,-14.230466
sample_732,-19.696281,21.047451
sample_733,22.117682,-21.166739
sample_734,-2.4438257,6.4663534
sample_735,-0.23390712,-0.6096382
sample_736,18.440706,-16.988312
sample_737,6.9463854,13.676262
sample_738,-14.668731,5.303804
sample_739,1.9262115,10.960593
sample_740,6.1244526,3.5873866
sample_741,-12.75956,-18.606888
sample_742,-0.43425608,-0.41103625
sample_743,-10.228451,-19.59839
sample_744,3.6159372,2.4464583
sample_745,-19.973894,23.921225
sample_746,3.8063886,4.803943
sample_747,9.129931,6.81054
sample_748,16.843966,-19.953152
sample_749,-17.721691,3.5808525
sample_750,4.712915,14.586571
sample_751,-1.5145583,11.618642
sample_752,-12.017105,-19.782692
sample_753,11.085572,10.166851
sample_754,-9.824515,-14.333718
sample_755,-16.341665,19.167051
sample_756,11.090644,8.104687
sample_757,4.0790424,0.85636395
sample_758,5.8807764,10.410489
sample_759,-17.829865,4.848944
sample_760,11.479103,13.1776705
sample_761,-13.681597,3.9204416
sample_762,1.9267156,4.624447
sample_763,-10.676957,2.1866193
sample_764,16.559855,-21.891457
sample_765,21.808838,-21.127268
sample_766,-19.587551,20.956026
sample_767,-17.837652,19.858654
sample_768,9.457437,11.349926
sample_769,4.969654,8.8103485
sample_770,7.1729436,6.045743
sample_771,-16.009565,6.656924
sample_772,4.4890065,9.099595
sample_773,-17.397388,4.3582997
sample_774,19.069242,-23.18029
sample_775,1.9630598,4.226641
sample_776,-14.974071,8.02475
sample_777,21.209345,-15.681118
sample_778,-17.74013,6.7144623
sample_779,-14.16757,10.070524
sample_780,-15.963228,6.350484
sample_781,20.142954,-21.5184
sample_782,4.0085273,9.292193
sample_783,-5.034905,-15.311505
sample_784,-3.526236,11.498184
sample_785,8.869539,2.829012
sample_786,17.826723,-18.360092
sample_787,11.305248,7.534663
sample_788,-12.5896225,-21.451881
sample_789,18.09633,-23.0454
sample_790,7.854073,12.622077
sample_791,10.393007,10.554528
sample_792,13.12712,10.128762
sample_793,11.385521,4.5323157
sample_794,-12.959795,-19.787235
sample_795,-11.423757,2.4148974
sample_796,8.879126,6.8804674
sample_797,-17.854412,2.764808
sample_798,-16.902431,17.428228
sample_799,-8.865698,-16.515308
sample_800,-12.943648,-15.471322
